# File: CSV (Comma-Delimiter)
# Feature: Track+Channel; Beat+Note;
# _Header: Time,Pitch,VolumeOffset,DurationOffset,_Enabled_,_Comment_
# _Footer: EnabledChannel,ChannelDefaultPitch,(Reservation)
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  [1] Lyrics
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,# ... 永久不變萬千世代，仍然無更改，神國度到永久
1,E3..,25,1,True,
1,D3..,25,1,True,
1,E3..,25,1,True,
0.5,G3..,25,1,True,
0.5,F3..,25,1,True,
-1,,,,False,# ... ... ... 
0.5,..,,,True,
0.5,E3..,25,1,True,
1,..,,,True,
1,..,,,True,
1,C3..,25,1,True,
-1,,,,False,# ... ... ... 
1,D3..,25,1,True,
1,..,,,True,
1,D3..,25,1,True,
1,G3..,25,1,True,
-1,,,,False,# ... ... ... 
1,G3..,25,1,True,
1,..,,,True,
1,..,,,True,
1,G2..,25,1,True,
-1,,,,False,# ... ... ... 
1,C3..,25,1,True,
0.5,B2..,25,1,True,
0.5,A2..,25,1,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,C3..,25,1,True,
-1,,,,False,# ... ... ... 
1,C3..,25,1,True,
0.5,..,,,True,
1,D3..,25,1,True,
0.5,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,..,,,True,
1,..,,,True,
1,..,,,True,
0.5,C3..,25,1,True,
0.5,D3..,25,1,True,
-1,,,,False,# ... 遠超過在這世上，無論何權柄，神寶座在至高處
1,E3..,25,1,True,
1,D3..,25,1,True,
1,E3..,25,1,True,
0.5,G3..,25,1,True,
0.5,F3..,25,1,True,
-1,,,,False,# ... ... ... 
0.5,..,,,True,
0.5,E3..,25,1,True,
1,..,,,True,
1,..,,,True,
1,C3..,25,1,True,
-1,,,,False,# ... ... ... 
1,D3..,25,1,True,
1,..,,,True,
1,D3..,25,1,True,
1,D3..,25,1,True,
-1,,,,False,# ... ... ... 
1,G3..,25,1,True,
1,..,,,True,
1,..,,,True,
1,G2..,25,1,True,
-1,,,,False,# ... ... ... 
1,C3..,25,1,True,
0.5,B2..,25,1,True,
0.5,A2..,25,1,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,..,,,True,
1,..,,,True,
1,B2..,25,1,True,
1,C3..,25,1,True,
-1,,,,False,# ... ... ... 
1,E3..,25,1,True,
1,D3..,25,1,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,..,,,True,
1,..,,,True,
1,..,,,True,
0.5,F3..,25,1,True,
0.5,G3..,25,1,True,
-1,,,,False,# ... 縱使黑暗遮蔽你面，但你寶座終不改變
1,A3..,25,1,True,
1,F3..,25,1,True,
1,A3..,25,1,True,
1,F3..,25,1,True,
-1,,,,False,# ... ... ... 
1,E3..,25,1,True,
1,D3..,25,1,True,
1,..,,,True,
0.5,E3..,25,1,True,
0.5,F3..,25,1,True,
-1,,,,False,# ... ... ... 
1,G3..,25,1,True,
1,E3..,25,1,True,
1,G3..,25,1,True,
1,E3..,25,1,True,
-1,,,,False,# ... ... ... 
1,D3..,25,1,True,
0.5,..,,,True,
1,C3..,25,1,True,
0.5,..,,,True,
1,G2..,25,1,True,
-1,,,,False,# ... 榮耀定再彰顯於世界
1,A2..,25,1,True,
1,..,,,True,
1,..,,,True,
0.5,B2..,25,1,True,
0.5,C3..,25,1,True,
-1,,,,False,# ... ... ... 
1,E3..,25,1,True,
1,D3..,25,1,True,
1,D3..,25,1,True,
1,C3..,25,1,True,
-1,,,,False,# ... ... ... 
1,C3..,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  [2] Chorus
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,# ... 願你國度降臨
1,C3..,25,1,True,
1,..,,,True,
1,C4..,25,1,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,C4..,25,1,True,
0.5,..,,,True,
1,B3..,25,1,True,
0.5,..,,,True,
1,C4..,25,1,True,
-1,,,,False,# ... ... ... 
1,G3..,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... 願你國度降臨
1,C3..,25,1,True,
1,..,,,True,
1,C4..,25,1,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,C4..,25,1,True,
0.5,..,,,True,
1,B3..,25,1,True,
0.5,..,,,True,
1,C4..,25,1,True,
-1,,,,False,# ... ... ... 
1,G3..,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... 願你的旨意行在我們當中
1,C4..,25,1,True,
1,..,,,True,
1,..,,,True,
0.5,B3..,25,1,True,
0.5,C4..,25,1,True,
-1,,,,False,# ... ... ... 
1,B3..,25,1,True,
0.5,..,,,True,
0.5,A3..,25,1,True,
1,G3..,25,1,True,
1,D3..,25,1,True,
-1,,,,False,# ... ... ... 
1,E3..,25,1,True,
1,..,,,True,
1,D3..,25,1,True,
1,C3..,25,1,True,
-1,,,,False,# ... ... ... 
1,A3..,25,1,True,
0.5,G3..,25,1,True,
0.5,E3..,25,1,True,
0.5,..,,,True,
0.5,D3..,25,1,True,
1,C3..,25,1,True,
-1,,,,False,# ... 直到永久
1,A2..,25,1,True,
1,..,,,True,
1,C3..,25,1,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,C3..,25,1,True,
0.5,..,,,True,
0.5,D3..,25,1,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... 願你國度降臨
1,C3..,25,1,True,
1,..,,,True,
1,C4..,25,1,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,C4..,25,1,True,
0.5,..,,,True,
1,B3..,25,1,True,
0.5,..,,,True,
1,C4..,25,1,True,
-1,,,,False,# ... ... ... 
1,G3..,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... 願你國度降臨
1,C3..,25,1,True,
1,..,,,True,
1,C4..,25,1,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,C4..,25,1,True,
0.5,..,,,True,
1,B3..,25,1,True,
0.5,..,,,True,
1,C4..,25,1,True,
-1,,,,False,# ... ... ... 
1,G3..,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... 願你的旨意行在我們當中
1,C4..,25,1,True,
1,..,,,True,
1,..,,,True,
0.5,B3..,25,1,True,
0.5,C4..,25,1,True,
-1,,,,False,# ... ... ... 
1,B3..,25,1,True,
0.5,..,,,True,
0.5,A3..,25,1,True,
1,G3..,25,1,True,
1,D3..,25,1,True,
-1,,,,False,# ... ... ... 
1,E3..,25,1,True,
1,..,,,True,
1,D3..,25,1,True,
1,C3..,25,1,True,
-1,,,,False,# ... ... ... 
1,A3..,25,1,True,
0.5,G3..,25,1,True,
0.5,E3..,25,1,True,
0.5,..,,,True,
0.5,D3..,25,1,True,
1,C3..,25,1,True,
-1,,,,False,# ... 直到永永遠遠
1,A3..,25,1,True,
1,..,,,True,
1,C4..,25,1,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,C4..,25,1,True,
0.5,..,,,True,
0.5,C4..,25,1,True,
1,..,,,True,
1,C4..,25,1,True,
-1,,,,False,# ... ... ... 
1,C4..,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  [2] Chorus
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,# ... 願你國度降臨
1,C3..,25,1,True,
1,..,,,True,
1,C4..,25,1,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,C4..,25,1,True,
0.5,..,,,True,
1,B3..,25,1,True,
0.5,..,,,True,
1,C4..,25,1,True,
-1,,,,False,# ... ... ... 
1,G3..,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... 願你國度降臨
1,C3..,25,1,True,
1,..,,,True,
1,C4..,25,1,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,C4..,25,1,True,
0.5,..,,,True,
1,B3..,25,1,True,
0.5,..,,,True,
1,C4..,25,1,True,
-1,,,,False,# ... ... ... 
1,G3..,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... 願你的旨意行在我們當中
1,C4..,25,1,True,
1,..,,,True,
1,..,,,True,
0.5,B3..,25,1,True,
0.5,C4..,25,1,True,
-1,,,,False,# ... ... ... 
1,B3..,25,1,True,
0.5,..,,,True,
0.5,A3..,25,1,True,
1,G3..,25,1,True,
1,D3..,25,1,True,
-1,,,,False,# ... ... ... 
1,E3..,25,1,True,
1,..,,,True,
1,D3..,25,1,True,
1,C3..,25,1,True,
-1,,,,False,# ... ... ... 
1,A3..,25,1,True,
0.5,G3..,25,1,True,
0.5,E3..,25,1,True,
0.5,..,,,True,
0.5,D3..,25,1,True,
1,C3..,25,1,True,
-1,,,,False,# ... 直到永久
1,A2..,25,1,True,
1,..,,,True,
1,C3..,25,1,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,C3..,25,1,True,
0.5,..,,,True,
0.5,D3..,25,1,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... 願你國度降臨
1,C3..,25,1,True,
1,..,,,True,
1,C4..,25,1,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,C4..,25,1,True,
0.5,..,,,True,
1,B3..,25,1,True,
0.5,..,,,True,
1,C4..,25,1,True,
-1,,,,False,# ... ... ... 
1,G3..,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... 願你國度降臨
1,C3..,25,1,True,
1,..,,,True,
1,C4..,25,1,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,C4..,25,1,True,
0.5,..,,,True,
1,B3..,25,1,True,
0.5,..,,,True,
1,C4..,25,1,True,
-1,,,,False,# ... ... ... 
1,G3..,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... 願你的旨意行在我們當中
1,C4..,25,1,True,
1,..,,,True,
1,..,,,True,
0.5,B3..,25,1,True,
0.5,C4..,25,1,True,
-1,,,,False,# ... ... ... 
1,B3..,25,1,True,
0.5,..,,,True,
0.5,A3..,25,1,True,
1,G3..,25,1,True,
1,D3..,25,1,True,
-1,,,,False,# ... ... ... 
1,E3..,25,1,True,
1,..,,,True,
1,D3..,25,1,True,
1,C3..,25,1,True,
-1,,,,False,# ... ... ... 
1,A3..,25,1,True,
0.5,G3..,25,1,True,
0.5,E3..,25,1,True,
0.5,..,,,True,
0.5,D3..,25,1,True,
1,C3..,25,1,True,
-1,,,,False,# ... 直到永永遠遠
1,A3..,25,1,True,
1,..,,,True,
1,C4..,25,1,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,C4..,25,1,True,
0.5,..,,,True,
0.5,C4..,25,1,True,
1,..,,,True,
1,C4..,25,1,True,
-1,,,,False,# ... ... ... 
1,C4..,25,1,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  (Musics...)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,# (願你的旨意行在我們當中)
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# (直到永永遠遠)
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... 
